cluster,dataset,subject,emotion_generation,reappraisal_effect,look_neg_base,reg_neg_base
1,AHAB,1,0.167187008968598,0.0363230616938376,0.66308965559898,0.699412717292818
1,AHAB,2,0.120166616128596,0.0375630834877214,0.242143535396163,0.279706618883885
1,AHAB,3,0.19665498016851,0.0346152844727989,0.53747372458894,0.572089009061739
1,AHAB,4,0.241553034271406,0.0041205273770845,0.334505269326536,0.33862579670362
1,AHAB,5,0.0919227538977191,0.131389126257607,0.415752201030188,0.547141327287795
1,AHAB,6,0.204949489986714,0.0800576267590045,0.376858854016998,0.456916480776003
1,AHAB,7,0.384297754399526,-0.0459395057558499,0.337766539188088,0.291827033432238
1,AHAB,8,0.207986623921737,0.163618025016112,0.300010803173687,0.463628828189799
1,AHAB,9,-0.0464240422921676,0.214342831661284,0.244281199574077,0.458624031235361
1,AHAB,10,0.166787603718666,0.111620863434281,0.306836305739403,0.418457169173684
1,AHAB,11,0.0967852156416974,0.133688567432083,0.364484625928336,0.498173193360419
1,AHAB,12,0.27583835901275,0.112896284440832,0.29543999103535,0.408336275476182
1,AHAB,13,0.0151118372290646,0.13537496878967,0.183150662816051,0.318525631605722
1,AHAB,14,0.153028787987477,0.0762184829386555,0.324793292685425,0.401011775624081
1,AHAB,15,0.081848393450846,0.0195483939934822,0.099962317609105,0.119510711602587
1,AHAB,16,0.0887347379602579,0.0502782955132528,0.222329816135399,0.272608111648651
1,AHAB,17,0.253403166011879,0.165771499141115,0.7474205248499,0.913192023991015
1,AHAB,18,0.184355072594362,0.0753411335050436,0.339187763568179,0.414528897073222
1,AHAB,19,0.194327523951487,0.00600632757640554,0.425548646821226,0.431554974397632
1,AHAB,20,0.227113131068906,0.0173228253377473,0.32335083106071,0.340673656398457
1,AHAB,21,0.241273128720193,-0.061808744777663,0.457402929800896,0.395594185023233
1,AHAB,22,0.102188664865354,0.032369916892009,0.13688264534754,0.169252562239549
1,AHAB,23,0.267984437298341,0.104968304620298,0.372104318832916,0.477072623453214
1,AHAB,24,0.163898111525916,0.0238862044121357,0.227952230473731,0.251838434885866
1,AHAB,25,0.0699565787714708,0.175712000618857,0.331058940316112,0.50677094093497
1,AHAB,26,0.21071419737741,0.0269408481601001,0.329620949277476,0.356561797437576
1,AHAB,27,0.0677102409293836,0.0231123257263937,0.132264075620032,0.155376401346426
1,AHAB,28,0.232472444406402,0.0646252566864011,0.389789292749224,0.454414549435625
1,AHAB,29,0.285277153556514,-0.0097777534423079,0.306878664903592,0.297100911461284
1,AHAB,30,0.0409878233423863,-0.100133505140801,-0.145955724646324,-0.246089229787125
1,AHAB,31,0.0223643096375252,0.133812577879823,0.225006749432783,0.358819327312606
1,AHAB,32,0.174060709131429,0.178954812315967,0.340306946226535,0.519261758542502
1,AHAB,33,0.227261401461261,0.10105661447731,0.235805325090657,0.336861939567967
1,AHAB,34,-0.0573579038923592,0.235210755588641,0.148075118652863,0.383285874241504
1,AHAB,35,0.195577109738621,0.0405407402931855,0.2174939393573,0.258034679650486
1,AHAB,36,0.264127820896411,-0.332820069686953,0.518341335746912,0.185521266059959
1,AHAB,37,0.237306379865079,0.0918000387587524,0.09231316142115,0.184113200179902
1,AHAB,38,0.433766661942188,0.11413798343917,0.743120236496096,0.857258219935267
1,AHAB,39,0.395349980694087,-0.0719592988475102,0.175740430011088,0.103781131163578
1,AHAB,40,0.00267388054673377,0.0697424685991467,0.126026204251799,0.195768672850946
1,AHAB,41,0.0516694413148227,0.206348416230675,0.350898431149802,0.557246847380477
1,AHAB,42,0.225080948254663,0.0767986077982109,0.232235331700649,0.30903393949886
1,AHAB,43,0.0918051020551343,0.114841112440285,0.277594634656094,0.392435747096379
1,AHAB,44,0.103153149927148,0.188739245776469,0.258575856372472,0.447315102148941
1,AHAB,45,0.132010067385567,-0.0461316193354336,0.1829770499401,0.136845430604667
1,AHAB,46,0.0331157630710532,0.226360600989266,0.089135031227587,0.315495632216853
1,AHAB,47,0.132252042020447,0.135020738713567,0.367228340688968,0.502249079402535
1,AHAB,48,0.134804783397972,-0.0207084562199961,0.14384525750644,0.123136801286444
